اباي	a b a i
شولۋشىلار	sh o l w sh e l a r
شومىلدىرۋ راسىمىنەن وتتى	sh o m e l d e r w   r xa s xe m xe n ye n   xo t t xe
شومىلدىرۋ راسىمىنەن وتىڭىز	sh o m e l d e r w   r xa s xe m xe n ye n   xo t xe n g xe z
شوكەر	sh o k ye r
شوكولاد	sh o k o l a d
شوكولادتار	sh o k o l a d t a r
شولۋ	sh o l w
شولۋشى	sh o l w sh e
شوشىپ كەتەدى	sh o sh e p   k ye t ye d xe
شوفەر	sh o f ye r
شوۋمەندەر	sh o w m ye n d ye r
شوفەرلەر	sh o f ye r l ye r
شوشۋ	sh o sh w
شوپان	sh o p a n
شورتان	sh o r t a n
شورتى	sh o r t e
شوتتار	sh o t t a r
شوتتى تولتىرىڭىز	sh o t t e   t o l t e r e n g e z
شوۋمەن	sh o w m ye n
شوعىرلاندىرىلعان	sh o gh e r l a n d e r e l gh a n
شوعىرلاندىرۋ	sh o gh e r l a n d e r w
شوعىرلانۋى	sh o gh e r l a n w e
شوق	sh o q
شوشىپ كەتتى	sh o sh e p   k ye t t xe
شوشقا ەتى	sh o sh q a   ye t xe
شوشقا مايى	sh o sh q a   m a i e
شوشقا تەرىسى	sh o sh q a   t ye r xe s xe
شوشقالار	sh o sh q a l a r
شوقىلار	sh o q e l a r
شوقتىعى بىىك	sh o q t e gh e   b xe xe k
شپالدار	sh p a l d a r
شپاگات	sh p a g a t
شوقجۇلدىز	sh o q j u l d e z
شوقجۇلدىزدار	sh o q j u l d e z d a r
شوقپار	sh o q p a r
شوقپارلار	sh o q p a r l a r
شوقتار	sh o q t a r
شپرىتستەر	sh p r xe t s t ye r
شپىنەل	sh p xe n ye l
شپىندەل	sh p xe n d ye l
شپىونەر	sh p xe o n ye r
ٴشپرىتس	sh p r xe t s
شپارگالكالار	sh p a r g a l k a l a r
شپاتەل	sh p a t ye l
شپاتل	sh p a t l
شپاتتار	sh p a t t a r
شپاتتىق جۇمىس	sh p a t t e q   j u m e s
ٴشپىگلاسس	sh p xe g l a s s
شتاڭالار	sh t a n g a l a r
شتامپتاۋ	sh t a m p t a w
شتامپتار	sh t a m p t a r
شتاڭا	sh t a n g a
شتاتىۆتەر	sh t a t xe v t ye r
شرام	sh r a m
ٴشرىفت	sh r xe f t
شتاب	sh t a b
شتامدار	sh t a m d a r
شتامم	sh t a m m
شۋلار	sh w l a r
شۋنت	sh w n t
شۋلى	sh w l e
شۋنتتار	sh w n t t a r
شتاتتان تىس	sh t a t t a n   t e s
شتەپسەل	sh t ye p s ye l
شتەپسەلدىك ۇش	sh t ye p s ye l d xe k   u sh
شۋ	sh w
شۋاقتى	sh w a q t e
شىبىقتار	sh e b e q t a r
شىبىق پەن قاربىز	sh e b e q   p ye n   q a r b e z
شىدادى	sh e d a d e
شىداي الادى	sh e d a i   a l a d e
شىدايدى	sh e d a i d e
شۋىلدادى	sh w e l d a d e
شۋىلسىز	sh w e l s e z
شىبىن	sh e b e n
شىبىندار	sh e b e n d a r
شىبىق	sh e b e q
شىداۋ	sh e d a w
شىدامسىزدىقپەن	sh e d a m s e z d e q p ye n
شىلاۋ	sh e l a w
شىلىمشى	sh e l e m sh e
شىدامدى	sh e d a m d e
شىدامدىلىق	sh e d a m d e l e q
شىدامدىلىقپەن	sh e d a m d e l e q p ye n
شىدامسىز	sh e d a m s e z
شىدامسىزدىق	sh e d a m s e z d e q
شىنايى ەمەس	sh e n a i e   ye m ye s
شىندىققا جاناسپايتىن	sh e n d e q q a   j a n a s p a i t e n
شىندىقتا	sh e n d e q t a
شىمتەزەك	sh e m t ye z ye k
شىمشۋ	sh e m sh w
شىمشىپ	sh e m sh e p
شىمىرلاڭحان	sh e m e r l a n gh a n
شىمىرلاۋ	sh e m e r l a w
شىنى قوراپ	sh e n e   q o r a p
شىنى ىدىس	sh e n e   e d e s
شىنى بۇيىمدار	sh e n e   b u i e m d a r
ٴشىنى ۇي	sh e n e   xu i
شىنىاياقتار	sh e n e a i a q t a r
شىنجىر	sh e n j e r
شىنجىر تاباندار	sh e n j e r   t a b a n d a r
شىنتاق	sh e n t a q
شىنتاق مايى	sh e n t a q   m a i e
شىنشىل	sh e n sh e l
شىرتىلدادى	sh e r t e l d a d e
شىرماۋىقتار	sh e r m a w e q t a r
شىرماۋىق	sh e r m a w e q
شىرشا	sh e r sh a
شىرىلدادى	sh e r e l d a d e
شىنىمەن	sh e n e m ye n
شىنىن ايتساق	sh e n e n   a i t s a q
شىنىندا	sh e n e n d a
شىراق	sh e r a q
شىراقتار	sh e r a q t a r
شىرىشتى	sh e r e sh t e
شىرىش	sh e r e sh
شىتىرمان	sh e t e r m a n
ٴشىتىرمان وقىعالى	sh e t e r m a n   o q xe gh a l e
شىرىن	sh e r e n
شىرىن سىققىش	sh e r e n   s e q q e sh
شىرىندار	sh e r e n d a r
شىرىندى	sh e r e n d e
شىرىنسىز	sh e r e n s e z
شىرىنى	sh e r e n e
شىعارمالار	sh e gh a r m a l a r
شىعار	sh e gh a r
شىعارۋشى	sh e gh a r w sh e
شىعارۋ	sh e gh a r w
شىتىرماندىق	sh e t e r m a n d e q
شىعادى	sh e gh a d e
شىعاناعى	sh e gh a n a gh e
شىعاناق	sh e gh a n a q
شىعاناقتار	sh e gh a n a q t a r
شىعارىپ الادى	sh e gh a r e p   a l a d e
شىعارىندىلارى	sh e gh a r e n d e l a r e
شىعارىپ سالاتىن	sh e gh a r e p   s a l a t e n
شىعارىپ تاستايدى	sh e gh a r e p   t a s t a i d e
شىعارىلدى	sh e gh a r e l d e
شىعارىلماعان	sh e gh a r e l m a gh a n
شىعارىلۋ	sh e gh a r e l w
شىعارىلىمدار	sh e gh a r e l e m d a r
شىعارىلعان	sh e gh a r e l gh a n
شىعىندالاتىن	sh e gh e n d a l a t e n
شىعىن	sh e gh e n
شىعىندار	sh e gh e n d a r
شىعىنسىز	sh e gh e n s e z
شىعارىپ تاستاۋ	sh e gh a r e p   t a s t a w
شىعارىپ تاستاڭىز	sh e gh a r e p   t a s t a n g e z
شىعۋ	sh e gh w
شىعۋ تەگى	sh e gh w   t ye g xe
شىعۋلار	sh e gh w l a r
شىعۋى	sh e gh w e
شىڭدالادى	sh e n g d a l a d e
شىڭ مانىندە	sh e n g   m xa n xe n d ye
شىڭدالدى	sh e n g d a l d e
شىڭدالعان	sh e n g d a l gh a n
شىعىپ تۇرۋ	sh e gh e p   t u r w
شىعىس	sh e gh e s
شىعىستىق	sh e gh e s t e q
شىعىڭقى جەرلەر	sh e gh e n g q e   j ye r l ye r
شىق	sh e q
شىقتى	sh e q t e
شىرە بال	sh xe r ye   b a l
شىلتەر	sh xe l t ye r
شىركەي	sh xe r k ye i
شىركەۋ قىزمەتكەرلەرى	sh xe r k ye w   q e z m ye t k ye r l ye r xe
شىڭدار	sh e n g d a r
شىڭدارى	sh e n g d a r e
شىڭى	sh e n g e
شىڭىراۋ	sh e n g e r a w
شىڭعىردى	sh e n g gh e r d e
شىڭعىرۋ	sh e n g gh e r w
شۇمەك	sh xu m ye k
شۇيدە	sh xu i d ye
شۇبار	sh u b a r
شۇبارلاۋ	sh u b a r l a w
شىركەۋلەر	sh xe r k ye w l ye r
شىركەۋلىك	sh xe r k ye w l xe k
شىركىن	sh xe r k xe n
شىرىك	sh xe r xe k
ٴشىرىپ كەتۋ	sh xe r xe p   k ye t w
شۇڭقىرلار	sh u n g q e r l a r
شۇعىل تۇردە	sh u gh e l   t xu r d ye
شاكەر	sh xa k ye r
شاينەك	sh xa i n ye k
شۇجىق	sh u j e q
شۇجىقتار	sh u j e q t a r
شۇلىق	sh u l e q
شۇلىقتار	sh u l e q t a r
شۇعىل	sh u gh e l
شولدەگەن	sh xo l d ye g ye n
ٴشوگىندى	sh xo g xe n d xe
ٴشوگۋ	sh xo g w
شوگىندىلەر	sh xo g xe n d xe l ye r
ٴشول	sh xo l
شاكىرت	sh xa k xe r t
شاكىرتتەر	sh xa k xe r t t ye r
شاكىرتتەرى	sh xa k xe r t t ye r xe
شاركەي	sh xa r k ye i
شاركەيلەر	sh xa r k ye i l ye r
ٴشوبى	sh xo b xe
شولەيت جەرلەر	sh xo l ye i t   j ye r l ye r
شولەيت جەر	sh xo l ye i t   j ye r
ٴشوپ	sh xo p
ٴشوپ شابۋ	sh xo p   sh a b w
شولدەگەندەر	sh xo l d ye g ye n d ye r
شولدەيدى	sh xo l d ye i d xe
شولدەر	sh xo l d ye r
شولدەۋ	sh xo l d ye w
ٴشولدى	sh xo l d xe
ششەكى	sh sh ye k xe
ششەك	sh sh ye k
ٴشوپشى	sh xo p sh xe
ششەتكا	sh sh ye t k a
ٴشوپ شاپقىش	sh xo p   sh a p q e sh
ٴشوپتانۋشى	sh xo p t a n w sh e
شوپتەر	sh xo p t ye r
ٴشوپتى	sh xo p t xe
ٴشوپتى وسىمدىكتەر	sh xo p t xe   xo s xe m d xe k t ye r
ىدىس جۋعىش	e d e s   j w gh e sh
ىدىس	e d e s
ىدىستا	e d e s t a
ىدىستار	e d e s t a r
ششەتكانى بىر جاعىنا سالىڭىز	sh sh ye t k a n e   b xe r   j a gh e n a   s a l e n g e z
ىدىرايدى	e d e r a i d e
ىدىرايتىن	e d e r a i t e n
ىدىراپ كەتتى	e d e r a p   k ye t t xe
ىدىراتۋ	e d e r a t w
ىدىراۋ	e d e r a w
ىدىراۋى	e d e r a w e
ىزعار	e z gh a r
ىزىلداعان	e z e l d a gh a n
ىلعال	e l gh a l
ىلعالداندىرۋ	e l gh a l d a n d e r w
ىزالاندى	e z a l a n d e
ىزالاندىرۋ	e z a l a n d e r w
ىزالى	e z a l e
ىزىلدايدى	e z e l d a i d e
ىزىلداپ	e z e l d a p
ىزىلداۋ	e z e l d a w
ىمىرت	e m e r t
ىنتالاندىرادى	e n t a l a n d e r a d e
ىنتالاندىرۋشى	e n t a l a n d e r w sh e
ىلعالداندىرىلعان	e l gh a l d a n d e r e l gh a n
ىلعالداندىرىڭىز	e l gh a l d a n d e r e n g e z
ىلعالداندىرعىش	e l gh a l d a n d e r gh e sh
ىلعالدىلىق	e l gh a l d e l e q
ىمىراسىز	e m e r a s e z
ىمىراعا كەلۋ	e m e r a gh a   k ye l w
ىنتىماقتاستىق جاسادى	e n t e m a q t a s t e q   j a s a d e
ىنتىماقتاستىق	e n t e m a q t a s t e q
ىرىلداۋ	e r e l d a w
ىنتىماقتاسۋ	e n t e m a q t a s w
ىنتالى	e n t a l e
ىنتالى ەمەس	e n t a l e   ye m ye s
ىنتامەن	e n t a m ye n
ىنتاسى	e n t a s e
ىنتىماقتاسادى	e n t e m a q t a s a d e
ىرعاقتىق	e r gh a q t e q
ىرعاي	e r gh a i
ىرىقتاندىرىلدى	e r e q t a n d e r e l d e
ىرعاعى	e r gh a gh e
ىرعاقتى	e r gh a q t e
ىرىمدار	e r e m d a r
ىرىمداۋ	e r e m d a w
ىرىمشىل	e r e m sh e l
ىرىمشىلدىق	e r e m sh e l d e q
ىرىس	e r e s
ىرىقتاندىرادى	e r e q t a n d e r a d e
ىسىراپسىز	e s e r a p s e z
ىسىراپ ەتتى	e s e r a p   ye t t xe
ىسىراپ	e s e r a p
ىسىراپ ەتۋ	e s e r a p   ye t w
ىسىراپتار	e s e r a p t a r
ىستالعان	e s t a l gh a n
ىستىق	e s t e q
ىستىق باس	e s t e q   b a s
ٴىستىق تۇسىرىلىم	e s t e q   t xu s xe r xe l xe m
ىسۋ	e s w
ىسقىلاپ	e s q e l a p
ىسقىرۋ	e s q e r w
ىسقىردى	e s q e r d e
ىسقىرىق	e s q e r e q
ىسىراپتاۋ	e s e r a p t a w
ىسىراپشىل	e s e r a p sh e l
ىسىراپشىلار	e s e r a p sh e l a r
ىسىراپشىلدىق	e s e r a p sh e l d e q
ىسىرۋ	e s e r w
ىقپالدى	e q p a l d e
ىقپال ەتەدى	e q p a l   ye t ye d xe
ٴىقتىمالدىلىق	e q t xe m a l d e l e q
ٴىقتىمالدى	e q t xe m a l d e
ىعىستىرادى	e gh e s t e r a d e
ىعىستىرۋ	e gh e s t e r w
ىعىستىرىلعان	e gh e s t e r e l gh a n
ىعىسۋ	e gh e s w
ىعىسقان	e gh e s q a n
ىڭعايلىلىق	e n g gh a i l e l e q
ىڭعايلى	e n g gh a i l e
ىڭعايسىز جاس	e n g gh a i s e z   j a s
ىڭعايسىزدانادى	e n g gh a i s e z d a n a d e
ٴىقتىمالدىعى	e q t xe m a l d e gh e
ٴىقتىمالدىق	e q t xe m a l d e q
ٴىقتىمالدىقتار	e q t xe m a l d e q t a r
ىقشام	e q sh a m
ىقشامدالعان	e q sh a m d a l gh a n
ىقشامدىلىق	e q sh a m d e l e q
ەۆاكۋاتسىيالاندى	ye v a k w a t s xe i a l a n d e
ەۆاكۋاتسىيالاۋ	ye v a k w a t s xe i a l a w
ەۆاكۋاتسىيالاۋشىلار	ye v a k w a t s xe i a l a w sh e l a r
ىڭعايسىزدىق	e n g gh a i s e z d e q
ىڭعايسىزدىقتار	e n g gh a i s e z d e q t a r
ە	ye
ەبون	ye b o n
ەبونىت	ye b o n xe t
ەۆاكۋاتسىيا	ye v a k w a t s xe i a
ەۆوليۋتسىونىست	ye v o l i w t s xe o n xe s t
ەۆوكاتىۆتى	ye v o k a t xe v t xe
ەۆكلىد	ye v k l xe d
ەۆوليۋتسىونىستەر	ye v o l i w t s xe o n xe s t ye r
ەۆوليۋتسىيا	ye v o l i w t s xe i a
ەۆاكۋاتسىيالىق	ye v a k w a t s xe i a l e q
ەۆانەستسەنتتى	ye v a n ye s t s ye n t t xe
ەۆگەنىكا	ye v g ye n xe k a
ەۆدىومەتر	ye v d xe o m ye t r
ەۆكالىپت	ye v k a l xe p t
ەۆحارىست	ye v h a r xe s t
ەۆفونىكالىق	ye v f o n xe k a l e q
ەۆفون	ye v f o n
ەۆفونىيا	ye v f o n xe i a
ەۆفۋىزم	ye v f w xe z m
ەۆوليۋتسىيا تەورىياسى	ye v o l i w t s xe i a   t ye o r xe i a s e
ەۆوليۋتسىيالار	ye v o l i w t s xe i a l a r
ەۆوليۋتسىياسى	ye v o l i w t s xe i a s e
ەۆرىستىكالىق	ye v r xe s t xe k a l e q
ەۆتانازىيا	ye v t a n a z xe i a
ەۆفەمىزم	ye v f ye m xe z m
ەگوىست	ye g o xe s t
ەگوىستتەر	ye g o xe s t t ye r
ەگوىستتىك	ye g o xe s t t xe k
ەجەكتور	ye j ye k t o r
ەگاد	ye g a d
ەگالىتارىزم	ye g a l xe t a r xe z m
ەگالىتارلىق	ye g a l xe t a r l e q
ەگو	ye g o
ەگوىزم	ye g o xe z m
ەكۆاتورلار	ye k v a t o r l a r
ەكۆاتور	ye k v a t o r
ەكۆىۆالەنت	ye k v xe v a l ye n t
ەكۆىۆالەنتتەر	ye k v xe v a l ye n t t ye r
ەجەكتورلار	ye j ye k t o r l a r
ەزوتەرىيالىق	ye z o t ye r xe i a l e q
ەيرى	ye i r xe
ەيفورىيا	ye i f o r xe i a
ەكۆالايزەرلەر	ye k v a l a i z ye r l ye r
ەكزىستەنتسىالدى	ye k z xe s t ye n t s xe a l d e
ەكزەما	ye k z ye m a
ەكزەكتسىيالار	ye k z ye k t s xe i a l a r
ەكزىستەنتسىالىزم	ye k z xe s t ye n t s xe a l xe z m
ەكۆىۆالەنتتى	ye k v xe v a l ye n t t xe
ەكۆىۆالەنتتى ەمەس	ye k v xe v a l ye n t t xe   ye m ye s
ەكۆىپوتەنتسىال	ye k v xe p o t ye n t s xe a l
ەكۆوكالدى	ye k v o k a l d e
ەكزەگەتىكالىق	ye k z ye g ye t xe k a l e q
ەكزوتىكالىق	ye k z o t xe k a l e q
ەكزوتەرىكالىق	ye k z o t ye r xe k a l e q
ەكزيۋۆىيا	ye k z i w v xe i a
ەكىپاج	ye k xe p a j
ەكزوگامىيا	ye k z o g a m xe i a
ەكزوگەندى	ye k z o g ye n d xe
ەكزورىدىۋم	ye k z o r xe d xe w m
ەكزورىزم	ye k z o r xe z m
ەكزورىست	ye k z o r xe s t
ەكزوسفەرا	ye k z o s f ye r a
ەكولوگتار	ye k o l o g t a r
ەكولوگ	ye k o l o g
ەكوجۇيەلەر	ye k o j xu i ye l ye r
ەكولوگىيا	ye k o l o g xe i a
ەكولوگىيالىق	ye k o l o g xe i a l e q
ەكىپاجدار	ye k xe p a j d a r
ەككسىولوگىيا	ye k k s xe o l o g xe i a
ەكلەكتىكالىق	ye k l ye k t xe k a l e q
ەكلىپتىكالىق	ye k l xe p t xe k a l e q
ەكلوگ	ye k l o g
ەكوجۇيە	ye k o j xu i ye
ەكونومىستەر	ye k o n o m xe s t ye r
ەكونومىست	ye k o n o m xe s t
ەكوسفەرا	ye k o s f ye r a
ەكوتسىد	ye k o t s xe d
ەكراندار	ye k r a n d a r
ەكونومەترىكا	ye k o n o m ye t r xe k a
ەكونومىكا	ye k o n o m xe k a
ەكونومىكالارى	ye k o n o m xe k a l a r e
ەكونومىكالىق	ye k o n o m xe k a l e q
ەكونومىكالىق تۇرعىدان	ye k o n o m xe k a l e q   t u r gh e d a n
ەكسگۋماتسىيا	ye k s g w m a t s xe i a
ەكسكاۆاتورلار	ye k s k a v a t o r l a r
ەكسكليۋزىۆتى	ye k s k l i w z xe v t xe
ەكرانسىز	ye k r a n s e z
ەكراڭحا	ye k r a n gh a
ەكراڭحا شىعارىلدى	ye k r a n gh a   sh e gh a r e l d e
ەكس	ye k s
ەكسگۋمالار	ye k s g w m a l a r
ەكسپانسىونىزم	ye k s p a n s xe o n xe z m
ەكسكۋرتسىيالار	ye k s k w r t s xe i a l a r
ەكسپەدىتورلىق	ye k s p ye d xe t o r l e q
ەكسپاتىتسىيالىق	ye k s p a t xe t s xe i a l e q
ەكسپەدىتسىيا	ye k s p ye d xe t s xe i a
ەكسكوممۋنىكاتىۆتى	ye k s k o m m w n xe k a t xe v t xe
ەكسكوممۋنىكاتتار	ye k s k o m m w n xe k a t t a r
ەكسكۋرسىيالار	ye k s k w r s xe i a l a r
ەكسكۋرسىيالىق	ye k s k w r s xe i a l e q
ەكسكۋرسىياشىلار	ye k s k w r s xe i a sh e l a r
ەكسپەكتسىيالاۋ	ye k s p ye k t s xe i a l a w
ەكسپەكتورات	ye k s p ye k t o r a t
ەكسپلۋاتاتسىيا	ye k s p l w a t a t s xe i a
ەكسپىراتسىيالىق	ye k s p xe r a t s xe i a l e q
ەكسپەدىتسىيا جاسايدى	ye k s p ye d xe t s xe i a   j a s a i d e
ەكسپەدىتسىيالاڭحان	ye k s p ye d xe t s xe i a l a n gh a n
ەكسپەدىتسىيالار	ye k s p ye d xe t s xe i a l a r
ەكسپەدىتسىيالاۋ	ye k s p ye d xe t s xe i a l a w
ەكسپەدىتسىيالىق	ye k s p ye d xe t s xe i a l e q
ەكسپونەنتسىالدى	ye k s p o n ye n t s xe a l d e
ەكسپونەنتتەرى	ye k s p o n ye n t t ye r xe
ەكسپونات	ye k s p o n a t
ەكسپونەنتتىك	ye k s p o n ye n t t xe k
ەكسپونەنتسىالداۋ	ye k s p o n ye n t s xe a l d a w
ەكسپلۋاتاتسىيالىق	ye k s p l w a t a t s xe i a l e q
ەكسپو	ye k s p o
ەكسپوزىتور	ye k s p o z xe t o r
ەكسپوزىتسىيا	ye k s p o z xe t s xe i a
ەكسپوزىتسىيالار	ye k s p o z xe t s xe i a l a r
ەكسپوزىتسىياسى	ye k s p o z xe t s xe i a s e
ەكسپرەسسىونىست	ye k s p r ye s s xe o n xe s t
ەكسپرەسس جولدارى	ye k s p r ye s s   j o l d a r e
ەكسپرەسس	ye k s p r ye s s
ەكسپرەسسىۆتى	ye k s p r ye s s xe v t xe
ەكسپرەسسىونىزم	ye k s p r ye s s xe o n xe z m
ەكسپورتتالدى	ye k s p o r t t a l d e
ەكسپورتتاۋ	ye k s p o r t t a w
ەكسپورتى	ye k s p o r t e
ەكسپوستاتتاۋ	ye k s p o s t a t t a w
ەكسپوستاتسىيالاۋ	ye k s p o s t a t s xe i a l a w
ەكستاتىكالىق	ye k s t a t xe k a l e q
ەكستاز	ye k s t a z
ەكستەنزور	ye k s t ye n z o r
ەكستەرنات	ye k s t ye r n a t
ەكسپروپرىاتتار	ye k s p r o p r xe a t t a r
ەكسپروپرىاتسىيالاۋ	ye k s p r o p r xe a t s xe i a l a w
ەكسپروپرواتتاۋ	ye k s p r o p r o a t t a w
ەكسپۋراتسىيا	ye k s p w r a t s xe i a
ەكسسۋداتسىيا	ye k s s w d a t s xe i a
ەكستراۆەرتتەر	ye k s t r a v ye r t t ye r
ەكستراكتور	ye k s t r a k t o r
ەكستراكورپورالدى	ye k s t r a k o r p o r a l d e
ەكستراكتورلار	ye k s t r a k t o r l a r
ەكستەررىتورىالدى	ye k s t ye r r xe t o r xe a l d e
ەكستراۆاگانزا	ye k s t r a v a g a n z a
ەكستراۆاگانت	ye k s t r a v a g a n t
ەكستراۆاگانتسالار	ye k s t r a v a g a n t s a l a r
ەكستراۆەرت	ye k s t r a v ye r t
ەكسترەمالدى	ye k s t r ye m a l d e
ەكستراسەنسورلىق	ye k s t r a s ye n s o r l e q
ەكسترەماتور	ye k s t r ye m a t o r
ەكسترەمىزم	ye k s t r ye m xe z m
ەكستراكتسىيا	ye k s t r a k t s xe i a
ەكستراپولات	ye k s t r a p o l a t
ەكستراپولاتتار	ye k s t r a p o l a t t a r
ەكستراپولياتسىيا	ye k s t r a p o l i a t s xe i a
ەكستراپولياتسىيالاڭحان	ye k s t r a p o l i a t s xe i a l a n gh a n
ەكسترەمۋند	ye k s t r ye m w n d
ەكسترەمورىزم	ye k s t r ye m o r xe z m
ەكستسەنترىكتەر	ye k s t s ye n t r xe k t ye r
ەكسترۋزىيا	ye k s t r w z xe i a
ەكستسەنترىكتىلىك	ye k s t s ye n t r xe k t xe l xe k
ەكسترەمىزمدە	ye k s t r ye m xe z m d ye
ەكسترەمىستەر	ye k s t r ye m xe s t ye r
ەكسترەمىستىك	ye k s t r ye m xe s t xe k
ەكسترەمور	ye k s t r ye m o r
ەكسترەمورىزاتسىيا	ye k s t r ye m o r xe z a t s xe i a
ەل	ye l
ەكۋمەنىكالىق	ye k w m ye n xe k a l e q
ەلۆەر	ye l v ye r
ەلۆىش	ye l v xe sh
ەكستسەنترلىك	ye k s t s ye n t r l xe k
ەكستسىكات	ye k s t s xe k a t
